SquareFeet,SalePrice
"2,520",290000
987,106000
912,125000
"1,555",192500
"1,194",148000
"2,794",403000
987,94500
894,128200
"1,960",216500
987,89500
"1,414",185500
"1,744",194500
"1,694",318000
"1,487",113000
"1,566",262500
866,110500
"1,440",79000
"1,217",120000
"2,110",205000
"1,872",241500
"1,928",137000
"1,375",140000
"1,668",180000
"2,144",277000
"1,306",76500
"1,625",235000
"1,640",173000
"1,302",158000
"1,314",145000
"2,291",230000
"1,728",207500
"1,604",220000
"1,792",231500
882,97000
"1,382",176000
"2,574",276000
"1,212",151000
"1,316",130000
764,73000
"1,422",175500
"1,511",185000
"2,192",179500
778,120500
"1,113",148000
"1,939",266000
"1,363",241500
"2,270",290000
"1,632",139000
816,124500
"1,548",205000
"1,560",201000
864,141000
"2,121",415298
"2,022",192000
"1,982",228500
"1,262",185000
"1,314",207500
"1,468",244600
"1,575",179200
"1,250",164700
"1,734",159000
858,88000
900,122000
"1,396",153575
"1,919",233230
"1,716",135900
"1,716",131000
"2,263",235000
"1,644",167000
"1,003",142500
"1,558",152000
"1,950",239000
"1,743",175000
"1,152",158500
"1,336",157000
"2,452",267000
"1,541",205000
894,149900
"3,493",295000
"2,000",305900
"2,243",225000
"1,406",89500
861,82500
"1,944",360000
"1,501",165600
972,132000
"1,118",119900
"2,036",375000
"1,641",178000
"1,432",188500
"2,353",260000
"1,959",270000
"2,646",260000
"1,472",187500
"2,596",342643
"2,468",354000
"2,730",301000
"1,163",126175
"2,978",242000
803,87000
"1,719",324000
"1,383",145250
"2,134",214500
"1,192",78000
"1,728",119000
"1,056",139000
"1,629",284000
"1,358",207000
"1,638",192000
"1,786",228950
"1,922",377426
"1,536",214000
"1,621",202500
"1,215",155000
"1,908",202900
841,82000
"1,040",87500
"1,684",266000
"1,112",85000
"1,577",140200
958,151500
"1,478",157500
"1,626",154000
"2,728",437154
"1,869",318061
"1,453",190000
"1,111",95000
720,105900
"1,595",140000
"1,200",177500
"1,167",173000
"1,142",134000
"1,352",130000
"1,924",280000
912,156000
"1,505",145000
"1,922",198500
987,118000
"1,574",190000
"1,344",147000
"1,394",159000
"1,431",165000
"1,268",132000
"1,287",162000
"1,664",172400
"1,588",134432
752,125000
"1,319",123000
"1,928",219500
904,61000
914,148000
"2,466",340000
"1,856",394432
"1,800",179000
"1,691",127000
"1,301",187750
"1,797",213500
784,76000
"1,953",240000
"1,269",192000
"1,184",81000
"1,125",125000
"1,479",191000
"2,332",426000
"1,367",119000
"1,961",215000
882,106500
788,100000
"1,034",109000
"1,144",129000
894,123000
"1,812",169500
"1,077",67000
"1,550",241000
"1,288",245500
"1,310",164990
672,108000
"2,263",258000
"1,572",168000
"1,620",150000
"1,639",115000
"1,680",177000
"2,172",280000
"2,078",339750
"1,276",60000
"1,056",145000
"1,478",222000
"1,028",115000
"2,097",228000
"1,340",181134
"1,400",149500
"2,624",239000
"1,134",126000
"1,056",142000
"1,344",206300
"1,602",215000
988,113000
"2,630",315000
"1,196",139000
"1,389",135000
"1,644",275000
907,109008
"1,208",195400
"1,412",175000
987,85400
"1,198",79900
"1,365",122500
"1,604",181000
630,81000
"1,661",212000
"1,118",116000
904,119000
694,90350
"1,196",110000
"2,402",555000
"1,440",118000
"1,573",162900
"1,258",172500
"1,908",210000
"1,689",127500
"1,888",190000
"1,886",199900
"1,376",119500
"1,183",120000
813,110000
"1,533",280000
"1,756",204000
"1,590",210000
"1,728",188000
"1,242",175500
"1,344",98000
"1,663",256000
"1,666",161000
"1,203",110000
"1,935",263435
"1,135",155000
864,62383
"1,660",188700
"1,040",124000
"1,414",178740
"1,277",167000
"1,644",146500
"1,634",250000
"1,710",187000
"1,502",212000
"1,969",190000
"1,072",148000
"1,976",440000
"1,652",251000
970,132500
"1,493",208900
"2,643",380000
"1,718",297000
"1,131",89471
"1,850",326000
"1,792",374000
"1,826",155000
"1,216",164000
999,132500
"1,113",147000
"1,073",156000
"1,484",175000
"2,414",160000
630,86000
"1,304",115000
"1,578",133000
"1,456",172785
"1,269",155000
886,91300
720,34900
"3,228",430000
"1,820",184000
899,130000
912,120000
"1,218",113000
"1,768",226700
"1,214",140000
"1,801",289000
"1,322",147000
"1,960",124500
"1,911",215000
"1,218",208300
"1,378",161000
"1,041",124500
"1,363",164900
"1,368",202665
864,129900
"1,080",134000
789,96500
"2,020",402861
"2,119",158000
"2,344",265000
"1,796",211000
"2,080",234000
"1,294",106250
"1,244",150000
"1,664",159000
"4,676",184750
"2,398",315750
"1,266",176000
928,132000
"2,713",446261
605,86000
"2,515",200624
"1,509",175000
"1,362",128000
827,107500
334,39300
"1,414",178000
"1,347",107500
"1,724",188000
864,111250
"1,159",158000
"1,601",272000
"1,838",315000
"2,285",248000
"1,680",213250
767,133000
"1,496",179665
"2,183",229000
"1,635",210000
768,129500
825,125000
"2,094",263000
"1,069",140000
928,112500
"1,717",255500
"1,126",108000
"2,046",284000
"1,048",113000
"1,092",141000
"1,336",108000
"1,446",175000
"1,557",234000
"1,392",121500
"1,389",170000
996,108000
"1,674",185000
"2,295",268000
"1,647",128000
"2,504",325000
"1,535",214000
"2,132",316600
943,135960
"1,728",142600
864,120000
"1,692",224500
"1,430",170000
"1,109",139000
"1,216",118500
"1,477",145000
"1,320",164500
"1,392",146000
"1,795",131500
"1,429",181900
"2,042",253293
816,118500
"2,775",325000
"1,573",133000
"2,028",369900
838,130000
860,137000
"1,473",143000
935,79500
"1,582",185900
"2,296",451950
816,138000
848,140000
924,110000
"1,826",319000
"1,368",114504
"1,402",194201
"1,647",217500
"1,556",151000
"1,904",275000
"1,375",141000
"1,915",220000
"1,200",151000
"1,494",221000
"1,986",205000
"1,040",152000
"2,008",225000
"3,194",359100
"1,029",118500
"2,153",313000
"1,032",148000
"1,872",261500
"1,120",147000
630,75500
"1,054",137500
"1,509",183200
832,105500
"1,828",314813
"2,262",305000
864,67000
"2,614",240000
980,135000
"1,512",168500
"1,790",165150
"1,116",160000
"1,422",139900
"1,520",153000
"2,080",135000
"1,350",168500
"1,750",124000
"1,554",209500
"1,411",82500
"1,056",139400
"1,056",144000
"3,395",200000
800,60000
"1,387",93000
796,85000
"1,567",264561
"1,518",274000
"1,929",226000
"2,704",345000
"1,620",152000
"1,766",370878
981,143250
"1,048",98300
"1,094",155000
"1,839",155000
630,84500
"1,665",205950
"1,510",108000
"1,716",191000
"1,469",135000
"2,113",350000
"1,092",88000
"1,053",145500
"1,502",149000
"1,458",97500
"1,486",167000
"1,935",197900
"2,448",402000
"1,392",110000
"1,181",137500
"2,097",423000
"1,936",230500
"2,380",129000
"1,679",193500
"1,437",168000
"1,180",137500
"1,476",173500
"1,369",103600
"1,208",165000
"1,839",257500
"1,136",140000
"1,441",148500
"1,774",87000
792,109500
"2,046",372500
988,128500
923,143000
"1,520",159434
"1,291",173000
"1,668",285000
"1,839",221000
"2,090",207500
"1,761",227875
"1,102",148800
"1,419",392000
"1,362",194700
848,141000
"4,316",755000
"2,519",335000
"1,073",108480
"1,539",141500
"1,137",176000
616,89000
"1,148",123500
894,138500
"1,391",196000
"1,800",312500
"1,164",140000
"2,576",361919
"1,812",140000
"1,484",213000
"1,092",55000
"1,824",302000
"1,324",254000
"1,456",179540
904,109900
729,52000
"1,178",102776
"1,228",189000
960,129000
"1,479",130500
"1,350",165000
"2,554",159500
"1,178",157000
"2,418",341000
971,128500
"1,742",275000
848,143000
864,124500
"1,470",135000
"1,698",320000
864,120500
"1,680",222000
"1,232",194500
"1,776",110000
"1,208",103000
"1,616",236500
"1,146",187500
"2,031",222500
"1,144",131400
948,108000
"1,768",163000
"1,040",93500
"1,801",239900
"1,200",179000
"1,728",190000
"1,432",132000
912,142000
"1,349",179000
"1,464",175000
"1,337",180000
"2,715",299800
"2,256",236000
"2,640",265979
"1,720",260400
"1,529",98000
"1,140",96500
"1,320",162000
"1,494",217000
"2,098",275500
"1,026",156000
"1,471",172500
"1,768",212000
"1,386",158900
"1,501",179400
"2,531",290000
864,127500
"1,301",100000
"1,547",215200
"2,365",337000
"1,494",270000
"1,506",264132
"1,714",196500
"1,750",160000
"1,836",216837
"3,279",538000
858,134900
"1,220",102000
"1,117",107000
912,114500
"1,973",395000
"1,204",162000
"1,614",221500
894,142500
"2,020",144000
"1,004",135000
"1,253",176000
"1,603",175900
"1,430",187100
"1,110",165500
"1,484",128000
"1,342",161500
"1,652",139000
"2,084",233000
901,107900
"2,087",187500
"1,145",160200
"1,062",146800
"2,013",269790
"1,496",225000
"1,895",194500
"1,564",171000
"1,285",143500
773,110000
"3,140",485000
"1,768",175000
"1,688",200000
"1,196",109900
"1,456",189000
"2,822",582933
"1,128",118000
"1,428",227680
980,135500
"1,576",223500
"1,086",159950
"2,138",106000
"1,309",181000
848,144500
"1,044",55993
"1,442",157900
"1,250",116000
"1,661",224900
"1,008",137000
"1,689",271000
"1,052",155000
"1,358",224000
"1,640",183000
936,93000
"1,733",225000
"1,489",139500
"1,489",232600
"2,084",385000
784,109500
"1,434",189000
"2,126",185000
"1,223",147400
"1,392",166000
"1,200",151000
"1,829",237000
"1,516",167000
"1,144",139950
"1,067",128000
"1,559",153500
987,100000
"1,099",144000
"1,200",130500
"1,482",140000
"1,539",157500
"1,165",174900
"1,800",141000
"1,416",153900
"1,701",171000
"1,775",213000
864,133500
"2,358",240000
"1,855",187000
848,131500
"1,456",215000
"1,646",164000
"1,445",158000
"1,779",170000
"1,040",127000
"1,026",147000
"1,481",174000
"1,370",152000
"2,654",250000
"1,426",189950
"1,039",131500
"1,097",152000
"1,148",132500
"1,372",250580
"1,002",148500
"1,646",248900
"1,120",129000
"2,320",169000
"1,949",236000
894,109500
"1,682",200500
910,116000
"1,268",133000
"1,131",66500
"2,610",303477
"1,040",132250
"2,224",350000
"1,155",148000
864,136500
"1,090",157000
"1,717",187500
"1,593",178000
"2,230",118500
892,100000
"1,709",328900
"1,712",145000
"1,393",135500
"2,217",268000
"1,505",149500
924,122900
"1,683",172500
"1,068",154500
"1,383",165000
"1,535",118858
"1,796",140000
951,106500
"2,240",142953
"2,364",611657
"1,236",135000
858,110000
"1,306",153000
"1,509",180000
"1,670",240000
902,125500
"1,063",128000
"1,636",255000
"2,057",250000
902,131000
"1,484",174000
"2,274",154300
"1,268",143500
"1,015",88000
"2,002",145000
"1,224",173733
"1,092",75000
480,35311
"1,229",135000
"2,127",238000
"1,414",176500
"1,721",201000
"2,200",145900
"1,316",169990
"1,617",193000
"1,686",207500
"1,126",175000
"2,374",285000
"1,978",176000
"1,788",236500
"2,236",222000
"1,466",201000
925,117500
"1,905",320000
"1,500",190000
"2,069",242000
747,79900
"1,200",184900
"1,971",253000
"1,962",239799
"2,403",244400
"1,728",150900
"2,060",214000
"1,440",150000
"1,632",143000
"1,344",137500
"1,869",124900
"1,144",143000
"1,629",270000
"1,776",192500
"1,381",197500
864,129000
965,119900
768,133900
"1,968",172000
980,127500
"1,958",145000
"1,229",124000
"1,057",132000
"1,337",185000
"1,416",155000
858,116500
"2,872",272000
"1,548",155000
"1,800",239000
"1,894",214900
"1,484",178900
"1,308",160000
"1,098",135000
968,37900
"1,095",140000
"1,192",135000
"1,626",173000
918,99500
"1,428",182000
"2,019",167500
"1,382",165000
869,85500
"1,241",199900
894,110000
"1,121",139000
999,178400
"2,612",336000
"1,266",159895
"2,290",255900
"1,734",126000
"1,164",125000
"1,635",117000
"1,940",395192
"2,030",195000
"1,576",197000
"2,392",348000
"1,742",168000
"1,851",187000
"1,500",173900
"1,718",337500
"1,230",121600
"1,050",136500
"1,442",185000
"1,077",91000
"1,208",206000
944,82000
691,86000
"1,574",232000
"1,680",136905
"1,504",181000
985,149900
"1,657",163500
"1,092",88000
"1,710",240000
"1,522",102000
"1,271",135000
"1,664",100000
"1,502",165000
"1,022",85000
"1,082",119200
"1,665",227000
"1,504",203000
"1,360",187500
"1,472",160000
"1,506",213490
"1,132",176000
"1,220",194000
"1,248",87000
"1,504",191000
"2,898",287000
882,112500
"1,264",167500
"1,646",293077
"1,376",105000
"1,218",118000
"1,928",160000
"3,082",197000
"2,520",310000
"1,654",230000
954,119750
845,84000
"1,620",315500
"2,263",287000
"1,344",97000
630,80000
"1,803",155000
"1,632",173000
"1,306",196000
"2,329",262280
"2,524",278000
"1,733",139600
"2,868",556581
990,145000
"1,771",115000
930,84900
"1,302",176485
"1,316",200141
"1,977",165000
"1,526",144500
"1,989",255000
"1,523",180000
"1,364",185850
"1,850",248000
"2,184",335000
"1,991",220000
"1,338",213500
894,81000
"2,337",90000
"1,103",110500
"1,154",154000
"2,260",328000
"1,571",178000
"1,611",167900
"2,521",151400
893,135000
"1,048",135000
"1,556",154000
"1,456",91500
"1,426",159500
"1,240",194000
"1,740",219500
"1,466",170000
"1,096",138800
848,155900
990,126000
"1,258",145000
"1,040",133000
"1,459",192000
"1,251",160000
"1,498",187500
996,147000
"1,092",83500
"1,953",252000
"1,709",137500
"1,247",197000
"1,040",92900
"1,252",160000
"1,694",136500
"1,200",146000
936,129000
"1,314",176432
"1,355",127000
"1,088",170000
"1,324",128000
"1,601",157000
438,60000
950,119500
"1,134",135000
"1,194",159500
"1,302",106000
"2,622",325000
"1,442",179900
"2,021",274725
"1,690",181000
"1,836",280000
"1,658",188000
"1,964",205000
816,129900
"1,008",134500
833,117000
"1,734",318000
"1,419",184100
894,130000
"1,601",140000
"1,040",133700
"1,012",118400
"1,552",212900
960,112000
698,118000
"1,482",163900
"1,005",115000
"1,555",174000
"1,530",259000
"1,959",215000
936,140000
"1,981",135000
974,93500
"2,210",117500
"2,020",239500
"1,600",169000
986,102000
"1,252",119000
"1,020",94000
"1,567",196000
"1,167",144000
952,139000
"1,868",197500
"2,828",424870
"1,006",80000
924,80000
"1,576",149000
"1,298",180000
"1,564",174500
"1,111",116900
"1,482",143000
932,124000
"1,466",149900
"1,811",230000
816,120500
"1,820",201800
"1,437",218000
"1,265",179900
"1,314",230000
"1,580",235128
"1,876",185000
"1,456",146000
"1,640",224000
894,129000
"1,258",108959
"1,432",194000
"1,502",233170
"1,694",245350
"1,671",173000
"2,108",235000
"3,627",625000
"1,118",171000
"1,261",163000
"1,250",171900
"3,086",200500
"2,345",239000
"2,872",285000
923,119500
"1,224",115000
"1,343",154900
"1,124",93000
"2,514",250000
"1,652",392500
"4,476",745000
"1,130",120000
"1,572",186700
"1,221",104900
"1,699",95000
"1,624",262000
"1,660",195000
"1,804",189000
"1,622",168000
"1,441",174000
"1,472",125000
"1,224",165000
"1,352",158000
"1,456",176000
"1,863",219210
"1,690",144000
"1,212",178000
"1,382",148000
864,116050
"1,779",197900
"1,348",117000
"1,630",213000
"1,074",153500
"2,196",271900
"1,056",107000
"1,700",200000
"1,283",140000
"1,660",290000
"1,845",189000
"1,752",164000
672,113000
960,145000
999,134500
894,125000
"1,902",112000
"1,314",229456
912,80500
"1,218",91500
912,115000
"1,211",134000
"1,846",143000
"2,136",137900
"1,490",184000
"1,138",145000
"1,933",214000
912,147000
"1,702",367294
"1,507",127000
"2,620",190000
"1,190",132500
"1,224",101800
"1,188",142000
"1,964",130000
"1,784",138887
"1,626",175500
"1,948",195000
"1,141",142500
"1,484",265900
"1,768",224900
"1,689",248328
"1,173",170000
"2,076",465000
"1,517",230000
"1,868",178000
"1,553",186500
"1,034",169900
"2,058",129500
988,119000
"2,110",244000
"1,405",171750
874,130000
"2,167",294000
"1,656",165400
"1,367",127500
"1,987",301500
864,99900
"1,166",190000
"1,054",151000
"1,675",181000
"1,050",128900
"1,788",161500
"1,824",180500
"1,337",181000
"1,452",183900
"1,889",122000
"2,018",378500
"3,447",381000
"1,524",144000
"1,524",260000
"1,489",185750
935,137000
"1,357",177000
"1,250",139000
"1,920",137000
"1,395",162000
"1,724",197900
"2,031",237000
"1,128",68400
"1,573",227000
"1,339",180000
"1,040",150500
"1,824",139000
"2,447",169000
"1,412",132500
"1,328",143000
"1,582",190000
"1,659",278000
"1,970",281000
"1,152",180500
"1,302",119500
"2,372",107500
"1,664",162900
864,115000
"1,052",138500
"1,128",155000
"1,072",140000
"5,642",160000
"1,246",154000
"1,983",225000
"1,494",177500
"2,526",290000
"1,616",232000
"1,708",130000
"1,652",325000
"1,368",202500
990,138000
"1,122",147000
"1,294",179200
"1,902",335000
"1,274",203000
"2,810",302000
"2,599",333168
948,119000
"2,112",206900
"1,630",295493
"1,352",208900
"1,787",275000
948,111000
"1,478",156500
720,72500
"1,923",190000
708,82500
"1,795",147000
796,55000
774,79000
816,130500
"2,792",256000
"1,632",176500
"1,588",227000
954,132500
816,100000
"1,360",125500
"1,365",125000
"1,334",167900
"1,656",135000
693,52500
"1,861",200000
864,128500
872,123000
"1,114",155000
"2,169",228500
"1,913",177000
"1,456",155835
960,108500
"2,156",262500
"1,776",283463
"1,494",215000
"2,358",122000
"2,634",200000
"1,716",171000
"1,176",134900
"3,238",410000
"1,865",235000
"1,920",170000
892,110000
"1,078",149900
"1,573",177500
"1,980",315000
"2,601",189000
"1,530",260000
"1,738",104900
"1,412",156932
"1,200",144152
"1,674",216000
"1,790",193000
"1,475",127000
848,144000
"1,668",232000
"1,374",105000
"1,661",165500
"2,097",274300
"2,633",466500
"1,958",250000
"1,571",239000
790,91000
"1,604",117000
987,83000
"1,394",167500
864,58500
"2,117",237500
"1,762",157000
"1,416",112000
"1,258",105000
"1,154",125500
"2,784",250000
"2,526",136000
"1,746",377500
"1,218",131000
"1,525",235000
"1,584",124000
900,123000
"1,912",163000
"1,500",246578
"2,482",281213
"1,687",160000
"1,513",137500
"1,904",138000
"1,608",137450
"1,158",120000
"1,593",193000
"1,294",193879
"1,464",282922
"1,214",105000
"1,646",275000
768,133000
833,112000
"1,363",125500
"2,093",215000
"1,840",230000
"1,668",140000
"1,040",90000
"1,844",257000
"1,848",207000
"1,569",175900
"2,290",122500
"2,450",340000
"1,144",124000
"1,844",223000
"1,416",179900
"1,069",127500
848,136500
"2,201",274970
"1,344",144000
"1,252",142000
"2,127",271000
"1,558",140000
804,119000
"1,440",182900
"1,838",192140
958,143750
968,64500
"1,792",186500
"1,126",160000
"1,537",174000
864,120500
"1,932",394617
"1,236",149700
"1,725",197000
"2,555",191000
848,149300
"2,007",310000
952,121000
"1,422",179600
913,129000
"1,188",157900
"2,090",240000
"1,346",112000
630,92000
"1,792",136000
"1,578",287090
"1,072",145000
"1,140",84500
"1,221",185000
"1,647",175000
"2,073",210000
"2,340",266500
"1,078",142125
"1,256",147500
